report_date,orders_all_np,AffiliatesAll_spend,DisplayAll_spend,SEMConversionXX_spend,SEMConversionOther_spend,SocialEngagement_spend,SocialConversion_spend,VideoEngagement_spend,VideoConversion_spend,VideoConversionPMAX_spend,OTTall_spend,TVall_spend,organic_seo_non_brand_clicks,organic_email_sends,covid_Q1_22,covid_Q2_22,search_terms_xxxx_core_brand_terms_searches,gcr_per_order_overall_ssl_avg_7d,gcr_per_order_overall_dom_protection_avg_7d,gcr_per_order_overall_dom_registration_avg_7d,gcr_per_order_overall_dom_marketplace_avg_7d,gcr_per_order_overall_o365_avg_7d,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_2qtr,brand_tracker_gen_pop_unaided_awareness_domains_web_hosting_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_brand_trust_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_proud_to_use_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_3qtr,brand_tracker_gen_pop_aided_awareness_lag_1qtr,cli,market_share_xxxx_net_adds_total_pct
2021-11-18,1951,2732.969,3458.58667,2613.15,11159.86,192.87001,2417.27004,1158.21802,3723.70394,0,1002.99,21597.81757,547,259443,0,0,63.3976313,160.97024,16.07795743,21.52302929,328.1452854,47.66679486,0.221359905,0.423062437,0.237000922,0.255524886,0.222537859,0.725268194,103.0007,43
2021-11-19,1714,2786.627,3163.36749,2189.76,9882.47,187.31004,1872.07034,1159.65659,3723.67976,0,1042.61,11036.41009,462,89103,0,0,54.19473199,159.3206181,15.977131,21.54835929,412.4269181,46.140529,0.221362335,0.423015999,0.23708086,0.255514008,0.222536837,0.725049438,103.0007,38.5
2021-11-20,1206,1454.506,2655.17128,1899.97,8104.32,204.58,1891.27005,1159.80379,3736.7023,0,1000.47,7797.540487,362,57860,0,0,37.84370882,155.7724549,15.65470486,21.64230386,402.1650134,48.24090786,0.22136575,0.422970822,0.237167107,0.255503788,0.222535455,0.724824846,103.0007,41.7
2021-11-21,1364,2166.404,2820.55304,1883.54,7701.67,200.76001,2133.07002,1159.02897,3733.75484,0,753.66,11601.92451,383,58178,0,0,39.4514503,154.6697554,15.55855314,21.95378329,358.924061,47.78529343,0.221370145,0.422926877,0.237259513,0.255494267,0.222533716,0.724594562,103.0007,44.2
2021-11-22,1944,2384.967,3463.82386,3130.97,11177.9,191.8,1991.35003,1154.95626,3729.28337,0,819.9,12094.58843,541,178706,0,0,76.36168688,157.6904157,15.09152814,21.32921286,315.8594351,48.95572171,0.221375514,0.422884132,0.237357929,0.255485484,0.222531622,0.724358736,103.0007,40.9
2021-11-23,1957,3194.233,3382.74111,3241.63,11401.02,199.19,1966.52006,1158.57668,3726.73368,0,788.97,11883.03057,530,97383,0,0,81.74148219,160.9722629,14.97847686,20.82376614,368.8110491,51.01781529,0.22138185,0.422842557,0.237462197,0.255477477,0.222529176,0.724117523,103.0007,43
2021-11-24,1961,1735.035,3178.5743,2943.07,11724.53,191.47001,1981.08003,1151.59529,3709.15316,0,734.94,20680.43534,547,279909,0,0,69.41783389,151.8752366,14.57579486,20.09817771,371.0491444,50.08698986,0.221389145,0.422802121,0.237572156,0.255470284,0.222526381,0.723871085,103.0007,41.9
2021-11-25,1789,1746.109,3093.1661,2771.9,10422.7,181.46,2060.25002,1161.48911,3757.63351,0,691.92,20331.00195,499,92883,0,0,62.85123305,147.9477177,14.60122386,20.10666086,398.4796966,49.15446271,0.221397388,0.422762793,0.237687644,0.255463946,0.222523243,0.723619589,103.0007,47.1
2021-11-26,1592,1537.043,2682.48274,2503,9637.81,195.14001,2012.60002,1163.13669,3728.95736,0,636.1,9582.176818,398,51240,0,0,56.59448784,150.1872416,14.57066557,20.91695843,398.5134484,50.00389629,0.22140657,0.42272454,0.237808491,0.255458498,0.222519764,0.723363206,103.0007,42
2021-11-27,1114,1381.539,2315.36651,1915.34,7303.96,202.2,2082.12001,1164.36216,3747.58145,0,585.92,5873.577413,318,43201,0,0,36.66585987,155.463313,14.89846114,21.26314,436.9182103,48.18477714,0.221416678,0.42268733,0.237934526,0.255453979,0.22251595,0.723102113,103.0007,41.6
2021-11-28,1173,1737.002,2206.16599,2101.01,7794.84,197.54,2189.06004,1164.85431,3744.63593,0,490.9,666.6564979,341,46330,0,0,40.10701127,167.3019864,14.77157329,20.76286071,403.6420199,47.96977686,0.221427701,0.422651132,0.238065574,0.255450425,0.222511805,0.722836494,103.0007,40.8
2021-11-29,1906,2396.615,2715.02449,3273.29,10284.03,191.88,1252.72999,1167.61406,4123.43149,0,358.9,2834.551216,551,107935,0,0,67.4082155,161.9003889,15.17387614,20.83879971,377.8447409,46.34793843,0.221439623,0.422615913,0.238201456,0.255447873,0.222507336,0.722566534,103.0007,39.5
2021-11-30,1877,3278.84,2793.52786,3316.69,10609.27,192.83002,1164.93005,1156.31631,939.06574,0,1524.23,3426.885414,574,74083,0,0,67.55086602,158.8503333,15.49388986,23.700089,473.9075614,45.85131143,0.221452431,0.422581642,0.238341991,0.255446358,0.222502548,0.722292425,103.0007,45.5
2021-12-01,1896,1465.51,2789.24849,276.87,427.53,192.01999,1611.82003,2612.42141,935.11111,0,0,5797.501423,548,68833,0,0,66.70080925,161.461873,15.570462,24.02975214,516.4575614,47.22964171,0.221466107,0.422548288,0.238486995,0.255445914,0.222497447,0.722014365,102.8554,47.9
2021-12-02,1832,2433.916,2693.58609,3278.12,11689.06,194.1,2392.01999,2835.88742,936.05748,0,0,12542.24343,506,66314,0,0,63.06520883,161.6376971,15.48462086,23.86834257,499.0493983,46.69710857,0.221480636,0.422515818,0.238636282,0.255446576,0.222492041,0.721732555,102.8554,53.6
2021-12-03,1574,2466.609,2501.62556,183.07,281.6,194.88,3267.42001,2649.2395,935.64713,0,0,2970.725879,446,63129,0,0,55.97360732,164.7427074,15.56015771,23.03261514,482.2994899,46.91580314,0.221495999,0.422484203,0.23878966,0.255448376,0.222486335,0.721447199,102.8554,55.1
2021-12-04,1005,2068.212,2126.82436,1998.66,8625.04,198.83,3499.60007,2489.10623,936.84222,0,0,3587.220402,292,42881,0,0,36.3283394,170.5080646,15.75617,23.235972,490.4026644,46.20587314,0.221512178,0.422453412,0.23894694,0.255451346,0.222480338,0.721158507,102.8554,49.3
2021-12-05,1167,1215.245,2226.28689,2041.54,9215.13,191.02,2633.14005,2571.03163,933.67643,0,0,6559.012042,381,43150,0,0,38.89880817,154.7995951,15.85095771,23.22658743,517.094093,47.17707414,0.221529152,0.422423417,0.239107926,0.255455518,0.222474056,0.720866694,102.8554,51.4
2021-12-06,1834,2212.531,2857.89468,3144.82,10944.23,192.92001,1943.06013,2631.03896,933.79122,0,0,26565.51738,525,77000,0,0,65.23419824,164.6951043,15.99147929,23.17372057,570.7950454,46.92124714,0.2215469,0.422394188,0.239272423,0.255460921,0.222467498,0.720571976,102.8554,52.9
